"603","Baylee","B","1"
"604","Bayless","B","1"
"605","Baylor","B","1"
"606","Bayou","B","1"
"607","Bayu","B","1"
"608","Baz","B","1"
"609","Baze","B","1"
"610","Bazel","B","1"
"611","Bazyl","B","1"
"612","Beacan","B","1"
"613","Beach","B","1"
"614","Beacon","B","1"
"615","Beal","B","1"
"616","Beale","B","1"
"617","Beaman","B","1"
"618","Beamer","B","1"
"619","Bean","B","1"
"620","Bear","B","1"
"621","Beat","B","1"
"622","Beathan","B","1"
"623","Beatus","B","1"
"624","Beau","B","1"
"625","Beauchamp","B","1"
"626","Beaumont","B","1"
"627","Beauregard","B","1"
"628","Becan","B","1"
"629","Bechet","B","1"
"630","Beck","B","1"
"631","Becker","B","1"
"632","Beckett","B","1"
"633","Beckham","B","1"
"634","Bede","B","1"
"635","Bedevere","B","1"
"636","Bedivere","B","1"
"637","Beech","B","1"
"638","Behan","B","1"
"639","Behramji","B","1"
"640","Beige","B","1"
"641","Bekele","B","1"
"642","Bela","B","1"
"643","Belcher","B","1"
"644","Belden","B","1"
"645","Belisario","B","1"
"646","Bell","B","1"
"647","Bellamy","B","1"
"648","Bello","B","1"
"649","Bellow","B","1"
"650","Belvedere","B","1"
"651","Ben","B","1"
"652","Benaiah","B","1"
"653","Benajah","B","1"
"654","Benedetto","B","1"
"655","Benedict","B","1"
"656","Benen","B","1"
"657","Benevolent","B","1"
"658","Benicio","B","1"
"659","Benigno","B","1"
"660","Benjamin","B","1"
"661","Benjen","B","1"
"662","Benji","B","1"
"663","Bennato","B","1"
"664","Bennett","B","1"
"665","Benning","B","1"
"666","Benno","B","1"
"667","Benoit","B","1"
"668","Benoni","B","1"
"669","Benson","B","1"
"670","Bentlee","B","1"
"671","Bentley","B","1"
"672","Bently","B","1"
"673","Benton","B","1"
"674","Benvenuto","B","1"
"675","Benvolio","B","1"
"676","Benyamin","B","1"
"677","Beowulf","B","1"
"678","Bercan","B","1"
"679","Bered","B","1"
"680","Berenger","B","1"
